"Add To Risk Table",Category,"Risk Index","Hazard/RISK Statement","Risk Abbreviated Terms","Type Of Risk",Activity,"Common Risk","Specific Risk",Delete
Y,T,1020,"Test is ordered outside the indications for use","IFU not followed","Instrument Risk",order,1,0,0
Y,T,1030,"Test is ordered outside the limitations of use",Limitations,"Instrument Risk",order,1,0,0
Y,S,1040,"Patient experiences adverse event during sample collection process","Adverse event","Instrument Risk",collection,1,0,0
Y,S,1050,"Sample is collected from the wrong patient","Wrong patient","Instrument Risk","patient id",1,0,0
Y,S,1060,"Wrong patient identifier is entered into the ??instrument??","Misidentify patient","Instrument Risk","patient id",1,0,0
Y,S,1070,"Sample is mislabeled",Mislabeled,"Instrument Risk",collection,1,0,0
Y,S,1080,"Patient did not fast prior to sample collection",Non-fasting,"Instrument Risk",collection,0,1,0
Y,S,1090,"Collection supplies are not used within manufacturer's stated instructions","Inappropriate IFU collection device","Instrument Risk",collection,1,0,0
Y,S,1100,"Sample is collected in an inappropriate collection device","Incorrect collection device","Instrument Risk",collection,1,0,0
Y,S,1110,"Sample is contaminated with alcohol or cleansing agent from sample collection","Contamination with alcohol","Instrument Risk",collection,1,0,0
Y,S,1120,"Sample quality is not optimal due to poor capillary puncture","Capillary puncture","Instrument Risk",collection,1,0,0
Y,S,1130,"Sample quality is not optimal due to poor collection technique","Poor technique","Instrument Risk",collection,1,0,0
Y,S,1140,"Sample is hemolyzed",Hemolysis,"Instrument Risk",collection,1,0,0
Y,S,1150,"Incorrect sample type collected for analysis (venous, arterial, capillary, etc.)","Wrong sample type","Instrument Risk",collection,1,0,0
Y,S,1160,"Syringe is not evacuated of ambient air","Ambient air contamination","Instrument Risk",collection,0,1,0
Y,S,1170,"Evacuated tubes are not filled to capacity","Short sample","Instrument Risk",collection,0,1,0
Y,S,1180,"Blood sample drawn into collection device with inappropriate anticoagulant","Wrong anticoagulant","Instrument Risk",collection,1,0,0
Y,S,1190,"Sample is diluted with IV fluid","Sample dilution","Instrument Risk",collection,1,0,0
Y,S,1200,"Sample contains air bubbles","Air bubbles","Instrument Risk",transfer,0,1,0
Y,S,1210,"Sample is clotted","Clotted sample","Instrument Risk",transfer,1,0,0
Y,S,1220,"Sample is not properly mixed before filling the ??consumable??","Improper sample mixing","Instrument Risk",collection,1,0,0
Y,S,1221,"Sample is not properly mixed before introducing to the ??sample probe??","Improper sample dosing","Instrument Risk",collection,0,1,0
Y,S,1230,"Sample not analyzed within appropriate time frame","Delayed sample analysis","Instrument Risk",transfer,1,0,0
Y,S,1240,"Sample is improperly iced","Improper icing","Instrument Risk",transfer,1,0,0
Y,T,1250,"Patient test is not repeated when result is inconsistent with patient status","Failure to repeat inconsistent patient results","Instrument Risk",result,1,0,0
Y,T,1260,"Patient hematocrit exceeds manufacturer's specified limits for test system","Patient hematocrit exceeded limit","Instrument Risk",result,1,0,0
Y,T,1270,"Patient is on a medication which interferes with the test system","Patient medications interfer.","Instrument Risk",result,1,0,0
Y,T,1280,"Lipemic samples interfere with test system","Lipemic sample interfer.","Instrument Risk",result,0,1,0
Y,T,1290,"Icteric samples interfere with test system","Icteric sample interfer.","Instrument Risk",result,0,1,0
Y,T,1300,"Elevated white blood cells counts interfere with the test system","Elevated WBC interfer.","Instrument Risk",result,0,1,0
Y,S,1310,"Sample is not collected using the Hologic Specimen Collection Kit","Inappropriate collection kit","Instrument Risk",collection,0,1,0
Y,S,1320,"Sample is collected after culture specimens, digital cervical exam, or vaginal ultrasound","Order of draw","Instrument Risk",collection,0,1,0
Y,S,1330,"Sample is collected within 24 hours of sexual intercourse","Timing of sample collection","Instrument Risk",collection,0,1,0
Y,S,1340,"Sample is contaminated with lubricants, soaps, disinfectants, or creams","Sample contamination","Instrument Risk",collection,0,1,0
Y,S,1350,"Sample is grossly bloody","Blood in sample","Instrument Risk",collection,0,1,0
Y,S,1370,"Sample is diluted with IV heparin","IV heparin dilution","Instrument Risk",collection,0,0,0
Y,S,1380,"Clinical specimens for COVID-19 are not collected according to CDC guidelines","CDC guidelines not met","Instrument Risk",collection,0,0,0
Y,S,1400,"Sample test swab is not diluted with eluate or viral transport media","Dilution with VTM","Instrument Risk",collection,0,0,0
Y,S,1410,"Standard precautions are not followed when handling clinical specimens","Specimen handling","Instrument Risk",collection,1,0,0
Y,S,1430,"Throat swabs are not collected using the swabs provided in the ??test?? kit","Proper throat swab is used","Instrument Risk",collection,0,0,0
Y,S,1440,"Rayon throat swabs are not used for throat specimens","Rayon swabs are avoided","Instrument Risk",collection,0,0,0
Y,S,1450,"Nasal swab samples are not collected with the swabs provided in the ??test?? kit","Use of proper nasal swab","Instrument Risk",collection,0,0,0
Y,S,1460,"Nasal swab samples are not collected with Ultra flocked swabs","Improper use: Ultra flocked swabs","Instrument Risk",collection,0,0,0
Y,S,1470,"Nasal swab sampling does not include sampling from both nostrils","Both nostrils sampled","Instrument Risk",collection,0,0,0
Y,S,1480,"Nasopharyngeal sample collection is not limited to sterile rayon, foam, polyester or flocked flexible-shaft NP swabs","NP sample swabs","Instrument Risk",collection,0,0,0
Y,S,1490,"Nasopharyngeal samples are not collected from the space that is halfway from the nose to the tip of the ear","Improper sample collection","Instrument Risk",collection,0,0,0
Y,S,1500,"Direct nasal, throat or nasopharyngeal swabs are not tested as soon as possible","Stale specimens","Instrument Risk",processing,0,0,0
Y,S,1510,"After collection, the sample is stored in the original paper packaging and is not stored in a plastic tube with a cap","Sample storage","Instrument Risk",collection,0,0,0
Y,S,1520,"??Test?? is not performed within one hour of sample collection","Delayed sample analysis","Instrument Risk",transfer,0,0,0
Y,S,1530,"??Test?? sample is not at room temperature prior to test performance","Sample not at room temp","Instrument Risk",transfer,0,0,0
Y,S,1540,"Excessive force is applied to ??test?? components during insertion into the ??instrument??","Improper insertion of test","Instrument Risk",transfer,0,0,0
Y,S,1550,"Sample is diluted with liquid anticoagulants ","Anticoagulant dilution","Instrument Risk",collection,0,0,0
Y,S,1560,"Sample is heat-activated","Heat-activated samples","Instrument Risk",storage,0,0,0
Y,S,1570,"Sample contains fibrin due to incomplete clot formation","Fibrin present","Instrument Risk",processing,0,0,0
Y,S,1580,"Serum/plasma samples are not free of bubbles before analysis (remove with applicator stick)","Bubbles in serum/plasma sample","Instrument Risk",processing,0,0,0
Y,S,1590,"Specimens are not recentrifuged if they contain fibrin, red cells or other particulate matter","Samples with particulate matter","Instrument Risk",processing,0,0,0
Y,S,1600,"Samples requiring recentrifugation are not transferred first to a secondary tube","Recentrifuge in secondary tube","Instrument Risk",processing,0,0,0
Y,S,1610,"Frozen serum/plasma specimens are not completely thawed before analysis","Improper thawing of specimen","Instrument Risk",processing,0,0,0
Y,S,1620,"Frozen serum/plasma specimens are not thoroughly mixed prior to analysis","Improper mixing of specimen","Instrument Risk",processing,0,0,0
Y,S,1630,"Serum/plasma specimens are stored at room temperature for more than 2 days","Limited room temp storage","Instrument Risk","specimen storage",0,0,0
Y,S,1640,"Serum/plasma specimens are stored at refrigerated temperature beyond 7 days","Refrig. storage time limit","Instrument Risk","specimen storage",0,0,0
Y,S,1650,"If testing delayed more than 7 days, specimens are not stored frozen","Improper long-term storage","Instrument Risk","specimen storage",0,0,0
Y,S,1660,"Specimens are not shipped in compliance with applicable state, federal and international regulations","Shipment requirements","Instrument Risk",processing,0,0,0
Y,S,1670,"Personnel collecting specimens are not trained properly regarding the importance of specimen quality in generating accurate test results","Improper collection technique","Instrument Risk",collection,1,0,0
Y,S,1680,"Sample is not collected as soon as possible after onset of symptoms","Inappropriate timing of collection","Instrument Risk",collection,0,0,0
Y,S,1690,"Nasal, nasopharyngeal and oropharyngeal specimens are not collected using flocked or polyester-tipped swabs and/or are not immediately placed in 3mL of Copan Universal Transport Medium (UTM-RT) or BD Universal Transport (UVT)","UTM-RT & UTV media required","Instrument Risk",collection,0,0,0
Y,S,1700,"Nasal specimens are not collected on flocked or polyester-tipped swabs and/or are not immediately placed into cobas® PCR Media tube","Improper collection swab","Instrument Risk",collection,0,0,0
Y,S,1710,"Nasal specimens are not collected with cobas® PCR Media Uni Swab Sample Kit ","Improper nasal sample kit (Uni)","Instrument Risk",collection,0,0,0
Y,S,1720,"Nasal specimens are not collected using cobas® PCR Media Dual Swab Sample Kit","Improper nasal sample kit (Dual)","Instrument Risk",collection,0,0,0
Y,S,1730,"Swab is pre-wet in cobas® PCR Media before collection for cobas® Media Uni and/or Dual Swab Sample Kits","Swab is pre-wet in media","Instrument Risk",collection,0,0,0
Y,S,1740,"Nasal specimen is collected using swabs other than flocked or polyester-tipped.   ","Improper specimen collection","Instrument Risk",collection,0,0,0
Y,S,1750,"Specimens collected in cobas® PCR Media or 0.9% physiological saline are not stored a 2-8°C ","Improper specimen storage","Instrument Risk",processing,0,0,0
Y,S,1760,"Specimens collected in cobas® PCR Media or 0.9% physiological saline are not processed within 48 hours","Delayed analysis of specimen","Instrument Risk",processing,0,0,0
Y,S,1770,"Specimens collected in UTM-RT or UVT systems are not stored at 2-25°C","Improper specimen storage","Instrument Risk",processing,0,0,0
Y,S,1780,"Specimens collected in UTM-RT or UVT systems are not processed within 48 hours","Delayed analysis of specimen","Instrument Risk",processing,0,0,0
Y,S,1790,"If testing delayed more than 48 hours, specimens are not transported on dry ice, or stored at -70°C or colder until testing can occur","Special storage requirements","Instrument Risk",storage,0,0,0
Y,S,1800,"Samples collected in Copan UTM-RT, BD UVT , cobas® PCR Media or 0.9% physiological saline are not transferred to cobas omni Secondary tube prior to analysis on ??instrument??","Failure to use Secondary tube","Instrument Risk",processing,0,0,0
Y,S,1810,"Personnel do not take appropriate precautions when transferring specimens from primary to secondary tube","Caution required when transferring","Instrument Risk",processing,0,0,0
Y,S,1820,"Pipettes without aerosol barrier or positive displacement tips are used to handle specimens","Aerosols are minimized","Instrument Risk",processing,0,0,0
Y,S,1830,"Samples are not at room temperature prior to transfer","Sample transfer temperature","Instrument Risk",processing,0,0,0
Y,S,1840,"Swab shafts are not evaluated for breakage prior to placement on ??instrument??","Swab shaft breakage","Instrument Risk",processing,0,0,0
Y,S,1850,"cobas® PCR Media primary tubes with no swabs or two swabs are processed","Primary tube with no swab/two swabs tested","Instrument Risk",processing,0,0,0
Y,S,1860,"Specimens with excess mucus are not vortexed to disperse the excess mucus","Excess mucus","Instrument Risk",processing,0,0,0
Y,S,1870,"Specimens fail to meet minimum volume requirements for analysis","Minimum volume requirement","Instrument Risk",processing,1,0,0
Y,S,1880,"Room temperature nasopharyngeal swab, nasal swab, and nasal wash/aspirate specimens stored in viral transport media or saline are tested beyond 8 hours from time of collection","RT storage time limit","Instrument Risk",processing,0,0,0
Y,S,1890,"Refrigerated nasopharyngeal swab, nasal swab, and nasal wash/aspirate samples stored in viral transport media or saline are tested beyond 7 days from sample collection","Refrig. storage time limit","Instrument Risk",processing,0,0,0
Y,S,1900,"Sample transport tube not properly mixed before addition to ??consumable??","Improper mixing:  transport tube","Instrument Risk",processing,0,0,0
Y,T,2010,"Patient is injured during the test process","Patient injury","Instrument Risk",injury,0,0,0
Y,T,2020,"Patient is given a nosocomial infection","Nosocomial infection","Instrument Risk",injury,1,0,0
Y,T,2030,"Physician not satisfied with test system results","Physician confidence","Instrument Risk",misuse,1,0,0
Y,T,2040,"Product recall affects test system or ??consumable?? ","Product recall","Instrument Risk",result,1,0,0
Y,T,2050,"??Instrument?? is not validated before put into use for patient testing","Failure to validate instrument","Instrument Risk",readiness,1,0,0
Y,T,2060,"Handheld is not validated before put into use for patient testing","Failure to validate handheld","Instrument Risk",configuration,0,1,0
Y,T,2070,"Maintenance is performed improperly","Improper maintenance","Instrument Risk",maintenance,1,0,0
Y,T,2080,"??Instrument?? is not regularly cleaned","Inadequate instr. cleaning","Instrument Risk",maintenance,1,0,0
Y,T,2090,"??Optics?? not cleaned as specified by manufacturer","Optics not clean","Instrument Risk",maintenance,1,0,0
Y,T,2100,"Thermal Probe fails","Thermal Probe fails","Instrument Risk",readiness,0,1,0
Y,T,2110,"??Instrument?? malfunctions or is not calibrated properly","Instrument calibration malfunction","Instrument Risk",readiness,1,0,0
Y,T,2120,"Self-test or calibration does not run or fails","Self-test fails","Instrument Risk",calibration,1,0,0
Y,T,2130,"??EQC_int?? is not performed minimally per manufacturer's requirements","??EQC_int?? not performed","Instrument Risk",configuration,0,0,0
Y,T,2140,"Software updates are not performed on ??instrument??","Outdated software version","Instrument Risk",configuration,1,0,0
Y,T,2150,"Software is not updated on the handheld","Outdated software on handheld","Instrument Risk",configuration,0,1,0
Y,T,2160,"??Instrument?? is not configured as expected","Instrument not properly configured","Instrument Risk",configuration,0,0,0
Y,T,2170,"Cuvette path length or Hufner's number are entered incorrectly","Cuvette path length entered incorrectly","Instrument Risk",calibration,0,1,0
Y,T,2180,"??Instrument?? is not charged or power is not available for patient testing","Inadequate power/charging","Instrument Risk",readiness,1,0,0
Y,T,2190,"Patient test is performed on test system which does not meet requirements in order to perform testing","Test system requirements not met","Instrument Risk",readiness,0,0,0
Y,T,2200,"??Instrument?? has been dropped","Instrument dropped","Instrument Risk",readiness,1,0,0
Y,T,2210,"Sample is not run in the proper analysis mode on the ??instrument??","Improper sample analysis mode","Instrument Risk",misuse,1,0,0
Y,T,2220,"Sample type (venous, arterial, capillary, etc.) is improperly identified on the ??instrument??","Improper ID of sample type","Instrument Risk",misuse,0,0,0
Y,T,2230,"Testing performed does not match order from the authorized provider","Incorrect test performed","Instrument Risk",result,0,0,0
Y,T,2240,"Incorrect patient temperature is entered into the ??instrument??","Incorrect patient temperature","Instrument Risk",result,1,0,0
Y,T,2250,"Incorrect patient hemodynamic variables are entered into the ??instrument??","Hemodynamic variables are incorrect","Instrument Risk",result,0,1,0
Y,T,2260,"??Instrument?? is not used on a stationary, horizontal surface","Instrument not stationary","Instrument Risk",result,1,0,0
Y,T,2270,"??Instrument?? is disturbed during a patient test","Instrument disturbed","Instrument Risk",result,1,0,0
Y,T,2280,"??Instrument?? does not show correlation with another ??instrument?? or clinical laboratory method","Lack of correlation with lab","Instrument Risk",result,1,0,0
N,T,2290,"Use errors during pre-analytical or post-analytical test phases are not identified","Use errors not identified","Instrument Risk",result,1,0,0
Y,T,2300,"Use errors during pre-analytical or post-analytical test phases are not identified","Use errors not identified","Instrument Risk",result,0,1,0
Y,T,2310,"??Consumable?? is removed from the ??consumable port?? before the result is reviewed","Consumable removed prematurely","Instrument Risk",result,0,1,0
Y,T,2320,"Patient results with error messages are not reported to the authorized provider","Error messages not reported","Instrument Risk",result,1,0,0
Y,T,2330,"Patient results are no longer available in the ??instrument?? memory","Failure to retrieve stored Pt results","Instrument Risk",result,1,0,0
Y,T,2340,"Patient result is reported outside of the ??instrument?? Analytical Measurement Range (AMR)","Results exceed AMR","Instrument Risk",result,1,0,0
Y,T,2350,"Interfaced results not consistent with results displayed on ??instrument??","Inconsistent results on display","Instrument Risk",result,1,0,0
Y,T,2360,"Patient data relevant to result interpretation is incorrect or missing","Relevant patient data missing","Instrument Risk",result,1,0,0
Y,T,2370,"Test results are visually determined ","Results visually determined","Instrument Risk",result,0,0,0
Y,T,2380,"Clinician fails to act on critical results","Did not act on crit. results","Instrument Risk",result,1,0,0
N,T,2390,"Clinician fails to act on critical results","Failure to act on critical results","Instrument Risk",result,0,1,0
Y,T,2400,"Liquid leaks into the ??instrument?? and causes damage to electrical components","Liquid damage to electrical components","Instrument Risk",,1,0,0
Y,T,2410,"Calibration is not updated when changing reagent cassette lots","Improper calibration","Instrument Risk",,0,1,0
Y,T,2420,"External incubation is not properly timed","Improper incubation time","Instrument Risk",,0,1,0
Y,T,2430,"Clinician fails to act on a positive result","Failure to act on positive result","Instrument Risk",,0,1,0
Y,T,2440,"??Consumable?? is not flat when test is performed","Consumable not horizontal ","Instrument Risk",,0,0,0
Y,T,2450,"During dispensing of the extraction reagent, the dropper tip touches the card","Dropper tip contamination","Instrument Risk",,0,0,0
N,T,2460,"The sample swab shaft is not rotated before closing the ??consumable??","Insufficient swab rotation","Instrument Risk",,0,0,0
Y,T,2470,"Results are interpreted for ??test?? promptly at 15 minutes","Delayed test interpretation","Instrument Risk",,0,0,0
Y,T,2480,"Prior to testing, ??test personnel?? fail to verify the presence of a blue line in the Control Line position of an untested ??consumable??","Insufficient internal control verification","Instrument Risk",,0,0,0
Y,T,2490,"??Test?? use is inconsistent with manufacturer's intended use","Did not follow intended use req","Instrument Risk",,0,0,0
Y,T,2500,"??Test?? results are not reported to appropriate public health authorities","Failure to report to health dept","Instrument Risk",,0,0,0
Y,T,2510,"Universal precautions are not followed when using the ??test?? kit and contents","Universal precautions not followed","Instrument Risk",,0,0,0
Y,T,2520,"??Test?? instructions are not followed for sample collection, storage and transport","Lack of compliance w/ manuf. Inst","Instrument Risk",,0,0,0
Y,T,2530,"??Test?? reagent components are not maintained in sealed foil pouches until just before use.","Premature opening of foil pkg","Instrument Risk",,0,0,0
Y,T,2540,"??Test?? reagent pieces are tampered with prior to or after use","Reagent piece tampering","Instrument Risk",,0,0,0
Y,T,2550,"??Test?? kit is used beyond manufacturer's expiration date","Test used beyond exp","Instrument Risk",,0,0,0
Y,T,2560,"Consumables from different ??test?? kit lots are mixed","Components from different lots are mixed","Instrument Risk",,0,0,0
Y,T,2570,"Components from other ??instrument?? assays are used","Use of inappropriate reagents","Instrument Risk",,0,0,0
Y,T,2580,"Personnel fail to use clean PPE and gloves prior to running each ??test??","Lack of clean PPE & gloves","Instrument Risk",,0,0,0
Y,T,2590,"??Test?? components are used when dropped, cracked, damaged or open upon receipt","Consumables  damaged","Instrument Risk",,0,0,0
Y,T,2600,"Personnel use scissors or sharp objects to open foil pouches","Sharps damage to test components","Instrument Risk",,0,0,0
Y,T,2610,"The ??test?? Sample Receiver is left open prior to use","Sample Receiver left open","Instrument Risk",,0,0,0
Y,T,2620,"When ??test?? Sample Receiver contents are breached, personnel fail to use a new Sample Receiver","Sample Receiver is breached","Instrument Risk",,0,0,0
Y,T,2630,"Instrument display instructions are not followed when removing test pieces from ?? instrument??","Test pieces removed improperly","Instrument Risk",,0,0,0
Y,T,2640,"Test components are reused or are used with multiple specimens","Reuse of test components","Instrument Risk",,0,0,0
Y,T,2650,"The ??test?? Test Base and ??test?? Transfer Cartridge are disassembled after test completed","Cartridge disassembled","Instrument Risk",,0,0,0
Y,T,2660,"Previous positive samples contaminate work area","Contamination of work area","Instrument Risk",,0,0,0
Y,T,2670,"Failure to verify procedural control acceptability with each test","Procedural controls not verified","Instrument Risk",,0,0,0
Y,T,2680,"Control swab acceptability is not verified before reporting patient results","Control swabs not verified","Instrument Risk",,0,0,0
Y,T,2690,"??Test?? is not at room temperature before use","Test not at RT before use","Instrument Risk",,0,0,0
Y,T,2700,"Samples are not at room temperature before use","Samples not at room temp","Instrument Risk",,0,0,0
Y,T,2710,"Use of inappropriate viral transport media (VTM)","Inappropriate VTM media","Instrument Risk",,0,0,0
Y,T,2720,"??Test personnel?? fail to verify that a pellet is visible at the bottom of the reaction tube in the test base","Reagent pellet in test base not verified","Instrument Risk",,0,0,0
Y,T,2730,"Excessive force is used when inserting ??test?? components into the ??instrument??","Excessive force when inserting components","Instrument Risk",,0,0,0
Y,T,2740,"The orange indicator on the ??test?? is not monitored during testing process to ensure that enough sample is applied","Improper dosing of sample","Instrument Risk",,0,0,0
Y,T,2750,"Following ??test?? completion, gloves are not removed and discarded","Failure to replace gloves","Instrument Risk",,0,0,0
Y,T,2760,"When ??test?? needs to be repeated, the original sample swab is re-eluted","Improper re-elution of repeat test samples","Instrument Risk",,0,0,0
Y,T,2780,"??Instrument?? is not maintained on a clean, flat, level and stable surface","Instrument disturbed","Instrument Risk",,0,0,0
N,T,2790,"??Instrument?? is dropped","Damage due to dropping","Instrument Risk",,0,0,0
Y,T,2800,"Air flow to the ventilation openings on back and base of the ??instrument?? are restricted","Improper ventilation of instrument","Instrument Risk",,0,0,0
Y,T,2810,"The ??instrument?? is moved while test is in progress","Movement during testing","Instrument Risk",,0,0,0
Y,T,2820,"Rather than return the ??instrument?? for repair, ??test personnel?? dissemble or attempt to repair on own","Not repaired properly","Instrument Risk",,0,0,0
Y,T,2830,"Cables are not disconnected when ??instrument?? is not used for an extended period of time","Proper storage of instrument","Instrument Risk",,0,0,0
Y,T,2840,"Work area is contaminated with a previous positive sample causing false positive results for subsequent samples","Contamination of work area","Instrument Risk",,0,0,0
